DATE,NEW_DATE,DATE_STRING,AVG_WIND,PRECIP,SNOW_TOTAL,SNOW_DEPTH,MAX_TEMP,MIN_TEMP,FOG,THUNDER,ICE,HAIL,HAZE_SMOKE,BLW_SNOW,HIGH_WIND,DRIZZLE,RAIN,SNOW
2010-04-28,2010-04-28T00:00:00Z,28 April 2010,9.62,0,0,0,56,40,No,No,No,No,No,No,No,No,No,No
2010-04-29,2010-04-29T00:00:00Z,29 April 2010,8.95,0,0,0,69,45,No,No,No,No,No,No,No,No,No,No
2010-04-30,2010-04-30T00:00:00Z,30 April 2010,5.14,0,0,0,78,56,No,No,No,No,No,No,No,No,No,No
2010-05-01,2010-05-01T00:00:00Z,01 May 2010,4.03,0,0,0,85,64,No,No,No,No,No,No,No,No,No,No
2010-05-02,2010-05-02T00:00:00Z,02 May 2010,5.14,0,0,0,88,66,No,No,No,Yes,No,No,No,No,Yes,No
2010-05-03,2010-05-03T00:00:00Z,03 May 2010,4.92,1.29,0,0,80,67,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-05-04,2010-05-04T00:00:00Z,04 May 2010,5.14,0,0,0,81,62,No,No,No,No,No,No,No,No,Yes,No
2010-05-05,2010-05-05T00:00:00Z,05 May 2010,5.14,0,0,0,80,58,No,No,No,No,No,No,No,No,No,No
2010-05-06,2010-05-06T00:00:00Z,06 May 2010,7.38,0,0,0,78,59,No,No,No,No,No,No,No,No,Yes,No
2010-05-07,2010-05-07T00:00:00Z,07 May 2010,4.92,0,0,0,73,52,No,No,No,No,No,No,No,No,No,No
2010-05-08,2010-05-08T00:00:00Z,08 May 2010,10.07,0.04,0,0,76,49,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-09,2010-05-09T00:00:00Z,09 May 2010,11.41,0,0,0,52,44,No,No,No,No,No,No,No,No,No,No
2010-05-10,2010-05-10T00:00:00Z,10 May 2010,8.05,0,0,0,61,41,No,No,No,No,No,No,No,No,No,No
2010-05-11,2010-05-11T00:00:00Z,11 May 2010,3.36,0.03,0,0,56,43,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-12,2010-05-12T00:00:00Z,12 May 2010,6.93,0.43,0,0,48,44,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-13,2010-05-13T00:00:00Z,13 May 2010,4.92,0,0,0,67,43,No,No,No,No,No,No,No,No,No,No
2010-05-14,2010-05-14T00:00:00Z,14 May 2010,6.49,0.04,0,0,80,55,Yes,No,No,No,No,No,No,No,Yes,No
2010-05-15,2010-05-15T00:00:00Z,15 May 2010,7.38,0,0,0,73,60,No,No,No,No,No,No,No,No,No,No
2010-05-16,2010-05-16T00:00:00Z,16 May 2010,4.25,0,0,0,72,54,No,No,No,No,No,No,No,No,No,No
2010-05-17,2010-05-17T00:00:00Z,17 May 2010,2.91,0,0,0,74,55,No,No,No,No,No,No,No,No,No,No
2010-05-18,2010-05-18T00:00:00Z,18 May 2010,8.95,1.09,0,0,62,50,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-19,2010-05-19T00:00:00Z,19 May 2010,3.8,0,0,0,64,50,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-20,2010-05-20T00:00:00Z,20 May 2010,2.91,0,0,0,79,55,No,No,No,No,No,No,No,No,No,No
2010-05-21,2010-05-21T00:00:00Z,21 May 2010,4.92,0,0,0,85,61,No,No,No,No,No,No,No,No,No,No
2010-05-22,2010-05-22T00:00:00Z,22 May 2010,6.26,0,0,0,74,57,No,No,No,No,No,No,No,No,No,No
2010-05-23,2010-05-23T00:00:00Z,23 May 2010,8.05,0,0,0,71,58,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-05-24,2010-05-24T00:00:00Z,24 May 2010,5.14,0.03,0,0,73,60,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-05-25,2010-05-25T00:00:00Z,25 May 2010,3.36,0,0,0,82,61,Yes,No,No,No,No,No,No,No,No,No
2010-05-26,2010-05-26T00:00:00Z,26 May 2010,4.47,0,0,0,92,65,No,No,No,No,No,No,No,No,No,No
2010-05-27,2010-05-27T00:00:00Z,27 May 2010,5.82,0.06,0,0,83,55,No,No,No,Yes,No,No,No,No,Yes,No
2010-05-28,2010-05-28T00:00:00Z,28 May 2010,2.91,0,0,0,70,56,No,No,No,No,No,No,No,No,No,No
2010-05-29,2010-05-29T00:00:00Z,29 May 2010,5.59,0,0,0,77,61,No,No,No,No,No,No,No,No,No,No
2010-05-30,2010-05-30T00:00:00Z,30 May 2010,5.82,0,0,0,84,67,No,No,No,No,No,No,No,No,No,No
2010-05-31,2010-05-31T00:00:00Z,31 May 2010,3.8,0,0,0,86,69,Yes,No,No,No,Yes,No,No,No,No,No
2010-06-01,2010-06-01T00:00:00Z,01 June 2010,4.47,0,0,0,85,66,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-06-02,2010-06-02T00:00:00Z,02 June 2010,3.36,0,0,0,87,67,No,No,No,No,No,No,No,No,No,No
2010-06-03,2010-06-03T00:00:00Z,03 June 2010,4.7,0,0,0,87,67,Yes,No,No,No,Yes,No,No,No,No,No
2010-06-04,2010-06-04T00:00:00Z,04 June 2010,3.8,0,0,0,88,72,No,No,No,No,No,No,No,No,No,No
2010-06-05,2010-06-05T00:00:00Z,05 June 2010,7.38,0,0,0,88,76,No,No,No,No,No,No,No,No,No,No
2010-06-06,2010-06-06T00:00:00Z,06 June 2010,8.5,0.02,0,0,89,61,No,No,No,No,No,No,No,No,Yes,No
2010-06-07,2010-06-07T00:00:00Z,07 June 2010,6.93,0,0,0,75,57,No,No,No,No,No,No,No,No,No,No
2010-06-08,2010-06-08T00:00:00Z,08 June 2010,5.14,0,0,0,75,58,No,No,No,No,No,No,No,No,No,No
2010-06-09,2010-06-09T00:00:00Z,09 June 2010,4.25,0.89,0,0,68,57,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-06-10,2010-06-10T00:00:00Z,10 June 2010,3.58,0.25,0,0,74,58,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-06-11,2010-06-11T00:00:00Z,11 June 2010,4.25,0,0,0,71,58,No,No,No,No,No,No,No,No,No,No
2010-06-12,2010-06-12T00:00:00Z,12 June 2010,4.7,0,0,0,79,61,Yes,No,No,No,Yes,No,No,No,No,No
2010-06-13,2010-06-13T00:00:00Z,13 June 2010,6.26,0.3,0,0,78,65,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-06-14,2010-06-14T00:00:00Z,14 June 2010,2.46,0.01,0,0,79,64,Yes,No,No,No,Yes,No,No,No,Yes,No
2010-06-15,2010-06-15T00:00:00Z,15 June 2010,5.37,0,0,0,81,64,No,No,No,No,No,No,No,No,No,No
2010-06-16,2010-06-16T00:00:00Z,16 June 2010,4.92,0,0,0,75,64,No,No,No,Yes,No,No,No,No,No,No
2010-06-17,2010-06-17T00:00:00Z,17 June 2010,7.16,0.45,0,0,74,65,Yes,No,No,No,No,No,No,No,Yes,No
2010-06-18,2010-06-18T00:00:00Z,18 June 2010,3.36,0,0,0,86,60,No,No,No,No,No,No,No,No,No,No
2010-06-19,2010-06-19T00:00:00Z,19 June 2010,4.92,0,0,0,81,64,No,No,No,No,No,No,No,No,No,No
2010-06-20,2010-06-20T00:00:00Z,20 June 2010,3.8,0,0,0,89,71,No,No,No,Yes,No,No,No,No,Yes,No
2010-06-21,2010-06-21T00:00:00Z,21 June 2010,3.8,0,0,0,87,71,No,No,No,No,No,No,No,No,No,No
2010-06-22,2010-06-22T00:00:00Z,22 June 2010,3.8,0.27,0,0,87,71,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-06-23,2010-06-23T00:00:00Z,23 June 2010,6.04,0,0,0,89,71,Yes,No,No,No,No,No,No,No,No,No
2010-06-24,2010-06-24T00:00:00Z,24 June 2010,6.49,0,0,0,92,76,No,No,No,No,Yes,No,No,No,Yes,No
2010-06-25,2010-06-25T00:00:00Z,25 June 2010,4.7,0,0,0,87,71,No,No,No,No,No,No,No,No,No,No
2010-06-26,2010-06-26T00:00:00Z,26 June 2010,3.58,0,0,0,89,71,No,No,No,No,No,No,No,No,No,No
2010-06-27,2010-06-27T00:00:00Z,27 June 2010,3.8,0,0,0,91,71,No,No,No,No,Yes,No,No,No,No,No
2010-06-28,2010-06-28T00:00:00Z,28 June 2010,6.93,0.01,0,0,93,76,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-06-29,2010-06-29T00:00:00Z,29 June 2010,6.49,0,0,0,91,70,No,No,No,No,No,No,No,No,No,No
2010-06-30,2010-06-30T00:00:00Z,30 June 2010,5.82,0,0,0,79,62,No,No,No,No,No,No,No,No,No,No
2010-07-01,2010-07-01T00:00:00Z,01 July 2010,6.04,0,0,0,77,62,No,No,No,No,No,No,No,No,No,No
2010-07-02,2010-07-02T00:00:00Z,02 July 2010,4.92,0,0,0,82,61,No,No,No,No,No,No,No,No,No,No
2010-07-03,2010-07-03T00:00:00Z,03 July 2010,3.36,0,0,0,89,65,No,No,No,No,No,No,No,No,No,No
2010-07-04,2010-07-04T00:00:00Z,04 July 2010,5.37,0,0,0,96,73,No,No,No,No,No,No,No,No,No,No
2010-07-05,2010-07-05T00:00:00Z,05 July 2010,3.13,0,0,0,99,76,No,No,No,No,No,No,No,No,No,No
2010-07-06,2010-07-06T00:00:00Z,06 July 2010,3.36,0,0,0,103,81,No,No,No,No,No,No,No,No,No,No
2010-07-07,2010-07-07T00:00:00Z,07 July 2010,4.7,0,0,0,100,80,No,No,No,No,No,No,No,No,No,No
2010-07-08,2010-07-08T00:00:00Z,08 July 2010,3.58,0,0,0,89,77,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-07-09,2010-07-09T00:00:00Z,09 July 2010,5.59,0.02,0,0,90,75,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-07-10,2010-07-10T00:00:00Z,10 July 2010,3.8,0,0,0,83,73,No,No,No,No,No,No,No,No,No,No
2010-07-11,2010-07-11T00:00:00Z,11 July 2010,3.58,0,0,0,94,71,No,No,No,Yes,No,No,No,No,Yes,No
2010-07-12,2010-07-12T00:00:00Z,12 July 2010,4.47,0,0,0,94,73,No,No,No,No,No,No,No,No,Yes,No
2010-07-13,2010-07-13T00:00:00Z,13 July 2010,4.92,0.84,0,0,83,73,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-07-14,2010-07-14T00:00:00Z,14 July 2010,4.25,0.45,0,0,79,73,Yes,No,No,Yes,No,No,No,No,Yes,No
2010-07-15,2010-07-15T00:00:00Z,15 July 2010,5.37,0,0,0,87,72,Yes,No,No,No,No,No,No,No,No,No
2010-07-16,2010-07-16T00:00:00Z,16 July 2010,4.92,0,0,0,93,74,Yes,No,No,No,Yes,No,No,No,No,No
2010-07-17,2010-07-17T00:00:00Z,17 July 2010,5.37,0,0,0,94,76,No,No,No,No,No,No,No,No,No,No
2010-07-18,2010-07-18T00:00:00Z,18 July 2010,5.59,0,0,0,94,78,No,No,No,No,No,No,No,No,No,No
2010-07-19,2010-07-19T00:00:00Z,19 July 2010,3.58,0.15,0,0,92,72,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-07-20,2010-07-20T00:00:00Z,20 July 2010,3.58,0,0,0,89,74,No,No,No,No,No,No,No,No,No,No
2010-07-21,2010-07-21T00:00:00Z,21 July 2010,4.03,0,0,0,93,76,No,No,No,No,No,No,No,No,No,No
2010-07-22,2010-07-22T00:00:00Z,22 July 2010,6.71,0,0,0,90,74,No,No,No,No,No,No,No,No,No,No
2010-07-23,2010-07-23T00:00:00Z,23 July 2010,1.57,0.7,0,0,87,73,Yes,No,No,Yes,Yes,No,No,No,Yes,No
2010-07-24,2010-07-24T00:00:00Z,24 July 2010,5.37,0,0,0,97,80,No,No,No,No,No,No,No,No,No,No
