station_id,station_name,station_latitude,station_longitude
434,9 Ave & W 18 St,40.74317449,-74.00366443
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056
457,Broadway & W 58 St,40.76695317,-73.98169333
308,St James Pl & Oliver St,40.71307916,-73.99851193
326,E 11 St & 1 Ave,40.72953837,-73.98426726
306,Cliff St & Fulton St,40.70823502,-74.00530063
237,E 11 St & 2 Ave,40.73047309,-73.98672378
195,Liberty St & Broadway,40.70905623,-74.01043382
512,W 29 St & 9 Ave,40.7500727,-73.99839279
336,Sullivan St & Washington Sq,40.73047747,-73.99906065
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
330,Reade St & Broadway,40.71450451,-74.00562789
471,Grand St & Havemeyer St,40.71286844,-73.95698119
422,W 59 St & 10 Ave,40.770513,-73.988038
442,W 27 St & 7 Ave,40.746647,-73.993915
487,E 20 St & FDR Drive,40.73314259,-73.97573881
224,Spruce St & Nassau St,40.71146364,-74.00552427
546,E 30 St & Park Ave S,40.74444921,-73.98303529
509,9 Ave & W 22 St,40.7454973,-74.00197139
2022,E 59 St & Sutton Pl,40.75849116,-73.95920622
421,Clermont Ave & Park Ave,40.69573398,-73.97129668
300,Shevchenko Pl & E 7 St,40.728145,-73.990214
488,W 39 St & 9 Ave,40.75645824,-73.99372222
455,1 Ave & E 44 St,40.75001986,-73.96905301
168,W 18 St & 6 Ave,40.73971301,-73.99456405
331,Pike St & Monroe St,40.71173107,-73.99193043
467,Dean St & 4 Ave,40.68312489,-73.97895137
454,E 51 St & 1 Ave,40.75455731,-73.96592976
79,Franklin St & W Broadway,40.71911552,-74.00666661
494,W 26 St & 8 Ave,40.74734825,-73.99723551
511,E 14 St & Avenue B,40.72938685,-73.97772429
418,Front St & Gold St,40.70224,-73.982578
160,E 37 St & Lexington Ave,40.748238,-73.978311
332,Cherry St,40.71219906,-73.97948148
387,Centre St & Chambers St,40.71273266,-74.0046073
405,Washington St & Gansevoort St,40.739323,-74.008119
395,Bond St & Schermerhorn St,40.68807003,-73.98410637
2003,1 Ave & E 18 St,40.73416059,-73.98024289
377,6 Ave & Canal St,40.72243797,-74.00566443
212,W 16 St & The High Line,40.74334935,-74.00681753
327,Vesey Pl & River Terrace,40.7153379,-74.01658354
523,W 38 St & 8 Ave,40.75466591,-73.99138152
279,Peck Slip & Front Street,40.707873,-74.00167
295,Pike St & E Broadway,40.71406667,-73.99293911
301,E 2 St & Avenue B,40.72217444,-73.98368779
304,Broadway & Battery Pl,40.70463334,-74.01361706
456,E 53 St & Madison Ave,40.7597108,-73.97402311
379,W 31 St & 7 Ave,40.749156,-73.9916
519,Pershing Square North,40.751873,-73.977706
128,MacDougal St & Prince St,40.72710258,-74.00297088
294,Washington Square E,40.73049393,-73.9957214
527,E 33 St & 1 Ave,40.74315566,-73.97434726
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762
538,E 48 St & Madison Ave,40.75666,-73.976684
290,2 Ave & E 58 St,40.76020258,-73.96478473
289,Monroe St & Classon Ave,40.6845683,-73.95881081
281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
485,W 37 St & 5 Ave,40.75038009,-73.98338988
406,Hicks St & Montague St,40.69512845,-73.99595065
243,Fulton St & Rockwell Pl,40.687979,-73.978474
527,E 33 St & 2 Ave,40.744023,-73.976056
401,Allen St & Rivington St,40.72019576,-73.98997825
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
264,Maiden Ln & Pearl St,40.70706456,-74.00731853
147,Greenwich St & Warren St,40.71542197,-74.01121978
355,Bayard St & Baxter St,40.71602118,-73.99974372
525,W 34 St & 11 Ave,40.75594159,-74.0021163
479,9 Ave & W 45 St,40.76019252,-73.9912551
150,E 2 St & Avenue C,40.7208736,-73.98085795
